Etichette di riga;Provincia;Venditore;Clientela;mar-25;mar-24;Delta% mese;Delta valore mese;Progressivo 2025;Progressivo 2024;Delta % Progressivo;Delta valore Progressivo
ACMEI SUD SPA;BA;Davide Spina;B03;15.946,32;46.599,81;-192%;-30.653,49;67.671,84;70.380,66;-4%;-2.708,82
ACOM PACKAGING SRL;SA;Davide Spina;B02;1.263,20;;100%;1.263,20;4.461,49;1.280,62;71%;3.180,87
ADES SRL;MN;Sergio Rota;B02;14.030,10;4.853,80;65%;9.176,30;32.901,21;16.380,00;50%;16.521,21
AMA SPA;RE;Andrea Ventura;B02;;25.182,70;#DIV/0!;-25.182,70;24.911,82;43.293,07;-74%;-18.381,25
APRILE SPA;CE;Davide Spina;B03;;814,93;#DIV/0!;-814,93;1.703,70;2.487,77;-46%;-784,07
B.I.ME SRL;BA;Davide Spina;B03;;3.226,17;#DIV/0!;-3.226,17;9.224,49;5.560,19;40%;3.664,30
BARCELLA ELETTROFORNITURE SPA;BG;Sergio Rota;B03;12.199,90;13.361,37;-10%;-1.161,47;45.935,33;48.828,90;-6%;-2.893,57
BI ESSE SPA;TS;Marco Pilotto;B03;9.317,29;5.528,44;41%;3.788,85;34.348,41;14.740,38;57%;19.608,03
BI ESSE SPA DIV. SERVICE;CN;Fabrizio Cuzzi;B03;877.251,12;864.085,96;2%;13.165,16;3.400.432,89;2.694.338,00;21%;706.094,89
BIANCO SPA;CN;Fabrizio Cuzzi;B02;3.201,95;4.509,49;-41%;-1.307,54;13.505,56;7.138,57;47%;6.366,99
BIESSE SPA;PU;Gianni Bagattoni;B02;;715,20;#DIV/0!;-715,20;514,44;2.145,28;-317%;-1.630,84
C.I.E.B. ELETTROFORNITURE SPA;BS;Sergio Rota;B03;1.454,57;3.630,14;-150%;-2.175,57;9.569,01;16.097,31;-68%;-6.528,30
CABLOFIL DI TEOPOMPI & BALASINI SNC;MN;Sergio Rota;B02;77.419,29;20.431,04;74%;56.988,25;113.941,20;113.934,94;0%;6,26
CEFLA SC;BO;Andrea Ventura;B02;;2.420,25;#DIV/0!;-2.420,25;;11.660,93;#DIV/0!;-11.660,93
CIGNOLI ELETTROFORNITURE SRL;PV;Riccardo Ascrizzi;B03;13.404,89;20.678,12;-54%;-7.273,23;39.361,88;70.134,87;-78%;-30.772,99
COMANDULLI COSTRUZIONI MECCANICHE;CR;Sergio Rota;B02;;4.387,05;#DIV/0!;-4.387,05;;17.515,58;#DIV/0!;-17.515,58
COMET SPA;BO;Andrea Ventura;B03;;30.341,20;#DIV/0!;-30.341,20;31.387,43;90.967,09;-190%;-59.579,66
COMET SPA MAGAZZINO B;BO;Andrea Ventura;B03;66.386,16;77.440,82;-17%;-11.054,66;258.819,67;207.794,87;20%;51.024,80
COMOLI FERRARI & C. SPA;IM;Fabrizio Cuzzi;B03;169.726,48;74.817,90;56%;94.908,58;559.479,38;565.632,85;-1%;-6.153,47
CONCETTI SPA;PG;Andrea Ventura;B02;7.701,31;1.865,33;76%;5.835,98;26.931,34;4.680,21;83%;22.251,13
CORA SRL;TN;Marco Pilotto;B02;70.444,36;51.388,87;27%;19.055,49;174.298,77;174.962,68;0%;-663,91
COSTA LEVIGATRICI SPA;VI;Marco Pilotto;B02;;1.281,09;#DIV/0!;-1.281,09;4.652,46;12.359,76;-166%;-7.707,30
DI.C.S.EL. SRL;MI;Riccardo Ascrizzi;B03;68.271,46;41.844,75;39%;26.426,71;170.382,80;176.469,79;-4%;-6.086,99
EDIF SPA - CORROPOLI;TE;Davide Spina;B03;37.729,41;10.906,90;71%;26.822,51;164.606,11;41.094,51;75%;123.511,60
ELECTRA COMMERCIALE SPA;SI;Andrea Ventura;B03;5.390,18;5.587,49;-4%;-197,31;19.020,34;14.667,31;23%;4.353,03
ELECTRA SPA;SA;Davide Spina;B03;10.057,65;14.704,14;-46%;-4.646,49;33.243,42;23.827,09;28%;9.416,33
ELETTROCAMPANIA SPA;BN;Davide Spina;B03;14.302,79;7.370,22;48%;6.932,57;23.951,77;15.875,67;34%;8.076,10
ELETTROLAZIO SPA;RM;Davide Spina;B03;11.304,47;12.768,05;-13%;-1.463,58;20.195,72;53.848,62;-167%;-33.652,90
ELETTRONICA SCALVINA SRL;BG;Sergio Rota;B02;;2.317,70;#DIV/0!;-2.317,70;6.330,40;16.789,10;-165%;-10.458,70
ELETTROVENETA SPA;VI;Marco Pilotto;B03;;5.042,64;#DIV/0!;-5.042,64;1.544,00;29.647,57;-1820%;-28.103,57
ELETTROVENETA SPA PADOVA 2 - CEDI;PD;Marco Pilotto;B03;9.710,92;626,00;94%;9.084,92;29.527,53;626,00;98%;28.901,53
